visual_key	slot	image_id	planned_src	priority	brief	recommended_source_type	must_be_local	can_be_symbolic	capture_priority	rights_mode	first_action	notes
kirmes_funfair	01	kirmes-funfair-01	/assets/event-visuals/kirmes-funfair-01.webp	medium	Kirmes & Volksfest: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Kirmes, Fahrgeschäfte, Lichter, Volksfest und Rummelatmosphäre. Muss enthalten: Kirmes-/Fahrgeschäft-/Lichterbezug | Volksfestatmosphäre | keine dominante Menschenmenge. Vermeiden: überdrehtes Neon | billiger Rummel-Look | lesbare Schaustellerlogos.	own_local_photo_or_ai_symbolic_local_detail	preferred	limited	medium	own_photo_ai_generated_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für kirmes_funfair und prüfe es vor ready-Markierung im echten Card-Kontext.	Lokale Plausibilität ist wichtig; keine falsche konkrete Bocholt-Ortsbehauptung.
parade_festzug	01	parade-festzug-01	/assets/event-visuals/parade-festzug-01.webp	low	Parade, CSD & Festzug: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Rosenmontagszug, CSD, Umzug, Festzug und öffentliche Bewegung im Stadtraum. Muss enthalten: Umzug-/Parade-/Straßenbewegung | Stadtraumgefühl | anonyme oder keine Personen. Vermeiden: erkennbare Einzelpersonen | politische Plakate im Fokus | chaotische Menschenmenge.	own_local_photo_or_ai_symbolic_local_detail	preferred	limited	low	own_photo_ai_generated_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für parade_festzug und prüfe es vor ready-Markierung im echten Card-Kontext.	Lokale Plausibilität ist wichtig; keine falsche konkrete Bocholt-Ortsbehauptung.
shooting_festival_tradition	01	shooting-festival-tradition-01	/assets/event-visuals/shooting-festival-tradition-01.webp	low	Schützenfest & Tradition: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Schützenfest, Festzelt, Vereins- und Traditionsfest ohne erkennbare Personen im Fokus. Muss enthalten: Festzelt-, Vereins- oder Traditionsbezug | Schützenfest-Anmutung ohne Uniformfokus | regionale Plausibilität. Vermeiden: Waffenfokus | erkennbare Vereinslogos | Alkoholfokus.	own_local_photo_or_ai_symbolic_local_detail	preferred	limited	low	own_photo_ai_generated_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für shooting_festival_tradition und prüfe es vor ready-Markierung im echten Card-Kontext.	Lokale Plausibilität ist wichtig; keine falsche konkrete Bocholt-Ortsbehauptung.
market_stalls	01	market-stalls-01	/assets/event-visuals/market-stalls-01.webp	high	Märkte & Stände: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Krammarkt, Stoffmarkt, Wochenmarkt, Flohmarkt, Grenzmarkt und Stand-/Warenwelten. Muss enthalten: Stände, Waren, Tische oder Marktstruktur | Material- und Warenbezug | keine Marken. Vermeiden: Food-Fokus | Buchmarkt-Fokus | überfüllte Verkaufsfläche.	own_context_photo_or_ai_symbolic_contextual	preferred	yes	high	own_photo_ai_generated_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für market_stalls und prüfe es vor ready-Markierung im echten Card-Kontext.	Kontext soll hochwertig und plausibel wirken; keine Marken, Plakate oder geschützten Werke.
book_market	01	book-market-01	/assets/event-visuals/book-market-01.webp	low	Bücher- & Boekenmarkt: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Bücherstände, Antiquariat, Papier, Buchkisten und ruhige Marktstimmung. Muss enthalten: Bücher, Kisten, Tische oder Papierdetails | Buchmarktgefühl | keine lesbaren Cover im Fokus. Vermeiden: Bibliothek statt Markt | urheberrechtlich erkennbare Cover | chaotische Stapel.	own_context_photo_or_ai_symbolic_contextual	preferred	yes	low	own_photo_ai_generated_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für book_market und prüfe es vor ready-Markierung im echten Card-Kontext.	Kontext soll hochwertig und plausibel wirken; keine Marken, Plakate oder geschützten Werke.
country_fair_rural	01	country-fair-rural-01	/assets/event-visuals/country-fair-rural-01.webp	low	Country Fair & Landpartie: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Ländliche Messe, Farm & Country Fair, Landpartie, Hof-/Parkatmosphäre und regionale Ausstellung. Muss enthalten: Landpartie-/Country-Fair-/Hof- oder Parkatmosphäre | natürliche Materialien | ruhige Weite. Vermeiden: Agrar-Maschinenmesse | Western-Klischee | Tiernahaufnahme ohne Kontext.	own_local_photo_or_ai_symbolic_local_detail	preferred	limited	low	own_photo_ai_generated_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für country_fair_rural und prüfe es vor ready-Markierung im echten Card-Kontext.	Lokale Plausibilität ist wichtig; keine falsche konkrete Bocholt-Ortsbehauptung.
learning_science_workshop	01	learning-science-workshop-01	/assets/event-visuals/learning-science-workshop-01.webp	low	Lernen, Wissen & Junge Uni: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Junge Uni, Ökosystem, Wissenschaft, Lernen, Experimente und Wissensformate. Muss enthalten: Experiment-, Lern- oder Wissensbezug | Junge-Uni-/Workshopatmosphäre | Material oder Objektfokus. Vermeiden: Labor-Klischee | Schulbuchoptik | erkennbare Kinder.	ai_generated_symbolic_or_self_created_detail	no	yes	low	ai_generated_self_created_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für learning_science_workshop und prüfe es vor ready-Markierung im echten Card-Kontext.	Symbolisches Premiumbild ist zulässig; keine erkennbare Person, kein Logo, keine Schrift.
dance_music_workshop	01	dance-music-workshop-01	/assets/event-visuals/dance-music-workshop-01.webp	low	Tanz-, Musik- & Performance-Workshop: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: K-Pop, Sing & Dance, Musikschule, Bewegung, Jugendperformance und Workshopatmosphäre. Muss enthalten: Tanz-, Musik- oder Performance-Kontext | Bewegungsgefühl ohne Gesichter | Workshop statt Konzert. Vermeiden: TikTok-/Popstar-Klischee | erkennbare Jugendliche | Logo-/Posterbezug.	ai_generated_symbolic_or_self_created_detail	no	yes	low	ai_generated_self_created_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für dance_music_workshop und prüfe es vor ready-Markierung im echten Card-Kontext.	Symbolisches Premiumbild ist zulässig; keine erkennbare Person, kein Logo, keine Schrift.
running_event	01	running-event-01	/assets/event-visuals/running-event-01.webp	low	Laufveranstaltung: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Citylauf, Abendlauf, Start/Ziel, Laufstrecke und sportliche Bewegung. Muss enthalten: Laufstrecke, Start/Ziel oder Laufschuh-/Bewegungsdetail | Eventkontext | keine erkennbaren Läufer. Vermeiden: Fitnessstudio | Markenschuhe im Fokus | Massenszene.	ai_generated_symbolic_or_self_created_detail	no	yes	low	ai_generated_self_created_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für running_event und prüfe es vor ready-Markierung im echten Card-Kontext.	Symbolisches Premiumbild ist zulässig; keine erkennbare Person, kein Logo, keine Schrift.
cycling_event	01	cycling-event-01	/assets/event-visuals/cycling-event-01.webp	low	Radveranstaltung & Radsport: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Giro, Radsport, Fahrrad-Frühling, Fahrraddetails und Radveranstaltung. Muss enthalten: Fahrrad-, Radrennen- oder Tourkontext | Bewegungsrichtung | hochwertige Oberflächen. Vermeiden: Produktwerbung | Mountainbike-Alpenbild | erkennbare Fahrer.	ai_generated_symbolic_or_self_created_detail	no	yes	low	ai_generated_self_created_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für cycling_event und prüfe es vor ready-Markierung im echten Card-Kontext.	Symbolisches Premiumbild ist zulässig; keine erkennbare Person, kein Logo, keine Schrift.
indoor_sport_competition	01	indoor-sport-competition-01	/assets/event-visuals/indoor-sport-competition-01.webp	low	Indoor-Sport & Wettbewerb: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Darts, Fechten, Hallensport, Turnier und sportlicher Wettbewerb. Muss enthalten: Darts-, Fecht-, Hallensport- oder Turnierbezug | Wettkampfatmosphäre | keine identifizierbaren Sportler. Vermeiden: Stadionbild | Fitnesskurs | Vereinslogos.	ai_generated_symbolic_or_self_created_detail	no	yes	low	ai_generated_self_created_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für indoor_sport_competition und prüfe es vor ready-Markierung im echten Card-Kontext.	Symbolisches Premiumbild ist zulässig; keine erkennbare Person, kein Logo, keine Schrift.
evening_social_party	01	evening-social-party-01	/assets/event-visuals/evening-social-party-01.webp	low	Abend, Tanz & Party: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Tanz in den Mai, Karibische Nacht, Party, Abendtreff und soziale Abendatmosphäre. Muss enthalten: Tanz-, Abend-, Bar- oder Treffpunktatmosphäre | warmes Licht | keine Alkoholzentrierung. Vermeiden: Nachtclub-Neon | betrunkene Menschen | Marken/Flaschen im Fokus.	ai_generated_symbolic_or_self_created_detail	no	yes	low	ai_generated_self_created_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für evening_social_party und prüfe es vor ready-Markierung im echten Card-Kontext.	Symbolisches Premiumbild ist zulässig; keine erkennbare Person, kein Logo, keine Schrift.
business_messe_info	01	business-messe-info-01	/assets/event-visuals/business-messe-info-01.webp	medium	Messe, Info & Business: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Berufsmesse, Unternehmermesse, Infoabend, öffentliche Informationsformate und neutrale Messesituation. Muss enthalten: Messe-, Infoabend- oder Businesskontext | Tische, Materialien oder Raumstruktur | sachliche Premiumwirkung. Vermeiden: Corporate-Stockfoto | lesbare Rollups | Handshake-Klischee.	own_context_photo_or_ai_symbolic_contextual	preferred	yes	medium	own_photo_ai_generated_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für business_messe_info und prüfe es vor ready-Markierung im echten Card-Kontext.	Kontext soll hochwertig und plausibel wirken; keine Marken, Plakate oder geschützten Werke.
vehicle_classic	01	vehicle-classic-01	/assets/event-visuals/vehicle-classic-01.webp	low	Oldtimer & Fahrzeuge: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Oldtimer, Chrom, Fahrzeugdetails, Classic-Treffen und hochwertige Automobilatmosphäre. Muss enthalten: Oldtimer-, Chrom-, Fahrzeug- oder Karosseriedetail | Treffen-/Ausstellungskontext | keine Kennzeichen. Vermeiden: moderne Autowerbung | erkennbare Kennzeichen | Tuning-Klischee.	own_local_photo_or_ai_symbolic_local_detail	preferred	limited	low	own_photo_ai_generated_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für vehicle_classic und prüfe es vor ready-Markierung im echten Card-Kontext.	Lokale Plausibilität ist wichtig; keine falsche konkrete Bocholt-Ortsbehauptung.
